"Isolate","level 1","level 2"
"GCF_001009665.1_v1_genomic.fna",1,2
"GCF_001009365.1_v1_genomic.fna",1,1
"GCF_001009765.1_v1_genomic.fna",1,2
"GCF_001009705.1_ASM100970v1_genomic.fna",1,1
"GCF_001009445.1_v1_genomic.fna",1,2
"GCF_001009685.1_v1_genomic.fna",2,9
"GCF_001009675.1_v1_genomic.fna",2,10
"GCF_001009825.1_ASM100982v1_genomic.fna",7,20
"GCF_001009855.1_ASM100985v1_genomic.fna",7,20
"GCF_001009845.1_ASM100984v1_genomic.fna",7,20
"GCF_001009885.1_ASM100988v1_genomic.fna",7,20
"GCF_001009865.1_ASM100986v1_genomic.fna",7,20
"GCF_001009925.1_ASM100992v1_genomic.fna",2,9
"GCF_001009945.1_ASM100994v1_genomic.fna",2,9
"GCF_001009935.1_ASM100993v1_genomic.fna",2,9
"GCF_001010005.1_ASM101000v1_genomic.fna",7,20
"GCF_001010025.2_ASM101002v2_genomic.fna",2,8
"GCF_001976075.1_ASM197607v1_genomic.fna",1,1
"GCF_001010015.1_ASM101001v1_genomic.fna",7,20
"GCF_001010085.1_ASM101008v1_genomic.fna",2,8
"GCF_001009955.1_ASM100995v1_genomic.fna",2,9
"GCF_003992975.1_ASM399297v1_genomic.fna",1,6
"GCF_001908855.1_ASM190885v1_genomic.fna",1,1
"GCF_001010105.1_ASM101010v1_genomic.fna",2,9
"GCF_001010035.1_ASM101003v1_genomic.fna",7,20
"GCF_003993025.1_ASM399302v1_genomic.fna",1,6
"GCF_003136155.1_ASM313615v1_genomic.fna",10,28
"GCF_003993015.1_ASM399301v1_genomic.fna",1,6
"GCF_003993035.1_ASM399303v1_genomic.fna",1,6
"GCF_003993055.1_ASM399305v1_genomic.fna",1,6
"GCF_003993115.1_ASM399311v1_genomic.fna",1,6
"GCF_003993105.1_ASM399310v1_genomic.fna",1,6
"GCF_003993135.1_ASM399313v1_genomic.fna",1,6
"GCF_003993095.1_ASM399309v1_genomic.fna",4,14
"GCF_003993535.1_ASM399353v1_genomic.fna",5,18
"GCF_003993575.1_ASM399357v1_genomic.fna",1,6
"GCF_004102085.1_ASM410208v1_genomic.fna",4,14
"GCF_004102075.1_ASM410207v1_genomic.fna",4,14
"GCF_004102095.1_ASM410209v1_genomic.fna",2,8
"GCF_004102065.1_ASM410206v1_genomic.fna",4,16
"GCF_004102215.1_ASM410221v1_genomic.fna",4,14
"GCF_004102205.1_ASM410220v1_genomic.fna",2,9
"GCF_004102165.1_ASM410216v1_genomic.fna",2,9
"GCF_004102225.1_ASM410222v1_genomic.fna",2,9
"GCF_004102175.1_ASM410217v1_genomic.fna",4,14
"GCF_004102275.1_ASM410227v1_genomic.fna",2,9
"GCF_004102235.1_ASM410223v1_genomic.fna",2,9
"GCF_004102305.1_ASM410230v1_genomic.fna",2,9
"GCF_004102325.1_ASM410232v1_genomic.fna",2,9
"GCF_004102315.1_ASM410231v1_genomic.fna",2,9
"GCF_004102345.1_ASM410234v1_genomic.fna",4,14
"GCF_004102335.1_ASM410233v1_genomic.fna",2,8
"GCF_004102405.1_ASM410240v1_genomic.fna",4,14
"GCF_004102455.1_ASM410245v1_genomic.fna",2,8
"GCF_004102415.1_ASM410241v1_genomic.fna",4,14
"GCF_004102535.1_ASM410253v1_genomic.fna",2,9
"GCF_004102525.1_ASM410252v1_genomic.fna",4,14
"GCF_004102435.1_ASM410243v1_genomic.fna",4,14
"GCF_004102505.1_ASM410250v1_genomic.fna",2,9
"GCF_004102515.1_ASM410251v1_genomic.fna",2,9
"GCF_004102425.1_ASM410242v1_genomic.fna",2,9
"GCF_006979535.1_ASM697953v1_genomic.fna",2,9
"GCF_006979645.1_ASM697964v1_genomic.fna",4,16
"GCF_006979625.1_ASM697962v1_genomic.fna",2,9
"GCF_006979525.1_ASM697952v1_genomic.fna",2,9
"GCF_006979725.1_ASM697972v1_genomic.fna",2,9
"GCF_006979735.1_ASM697973v1_genomic.fna",4,16
"GCF_006979635.1_ASM697963v1_genomic.fna",2,8
"GCF_006979565.1_ASM697956v1_genomic.fna",2,9
"GCF_006979675.1_ASM697967v1_genomic.fna",4,16
"GCF_006979715.1_ASM697971v1_genomic.fna",2,9
"GCF_006979555.1_ASM697955v1_genomic.fna",2,8
"GCF_006979545.1_ASM697954v1_genomic.fna",2,9
"GCF_006979875.1_ASM697987v1_genomic.fna",4,14
"GCF_006979805.1_ASM697980v1_genomic.fna",2,9
"GCF_006979785.1_ASM697978v1_genomic.fna",4,16
"GCF_006979835.1_ASM697983v1_genomic.fna",2,9
"GCF_006979655.1_ASM697965v1_genomic.fna",4,16
"GCF_006979815.1_ASM697981v1_genomic.fna",2,8
"GCF_006979895.1_ASM697989v1_genomic.fna",2,8
"GCF_006979975.1_ASM697997v1_genomic.fna",2,8
"GCF_006979955.1_ASM697995v1_genomic.fna",2,9
"GCF_006979855.1_ASM697985v1_genomic.fna",2,9
"GCF_006979985.1_ASM697998v1_genomic.fna",2,9
"GCF_006980045.1_ASM698004v1_genomic.fna",4,14
"GCF_006979965.1_ASM697996v1_genomic.fna",2,9
"GCF_006980085.1_ASM698008v1_genomic.fna",2,9
"GCF_006979915.1_ASM697991v1_genomic.fna",2,9
"GCF_006979945.1_ASM697994v1_genomic.fna",2,9
"GCF_006980165.1_ASM698016v1_genomic.fna",4,14
"GCF_006980095.1_ASM698009v1_genomic.fna",2,9
"GCF_006980215.1_ASM698021v1_genomic.fna",2,9
"GCF_006980175.1_ASM698017v1_genomic.fna",2,9
"GCF_006980115.1_ASM698011v1_genomic.fna",2,9
"GCF_006980075.1_ASM698007v1_genomic.fna",2,9
"GCF_006980225.1_ASM698022v1_genomic.fna",2,9
"GCF_006980245.1_ASM698024v1_genomic.fna",2,9
"GCF_006980375.1_ASM698037v1_genomic.fna",2,9
"GCF_006980275.1_ASM698027v1_genomic.fna",2,9
"GCF_006980305.1_ASM698030v1_genomic.fna",2,9
"GCF_006980195.1_ASM698019v1_genomic.fna",2,9
"GCF_006980505.1_ASM698050v1_genomic.fna",2,9
"GCF_006980385.1_ASM698038v1_genomic.fna",2,9
"GCF_006980285.1_ASM698028v1_genomic.fna",2,9
"GCF_006980575.1_ASM698057v1_genomic.fna",2,9
"GCF_006980395.1_ASM698039v1_genomic.fna",2,9
"GCF_006980405.1_ASM698040v1_genomic.fna",2,9
"GCF_006980475.1_ASM698047v1_genomic.fna",2,9
"GCF_006980495.1_ASM698049v1_genomic.fna",2,9
"GCF_006980525.1_ASM698052v1_genomic.fna",2,9
"GCF_006980585.1_ASM698058v1_genomic.fna",2,9
"GCF_006980315.1_ASM698031v1_genomic.fna",2,9
"GCF_006980365.1_ASM698036v1_genomic.fna",2,9
"GCF_006980615.1_ASM698061v1_genomic.fna",2,9
"GCF_006980565.2_ASM698056v2_genomic.fna",2,9
"GCF_006980625.1_ASM698062v1_genomic.fna",2,9
"GCF_006980465.1_ASM698046v1_genomic.fna",2,8
"GCF_007713955.1_ASM771395v1_genomic.fna",4,15
"GCF_006980655.1_ASM698065v1_genomic.fna",2,9
"GCF_006980665.1_ASM698066v1_genomic.fna",2,9
"GCF_007713965.1_ASM771396v1_genomic.fna",3,11
"GCF_007714045.1_ASM771404v1_genomic.fna",5,18
"GCF_007714105.1_ASM771410v1_genomic.fna",5,18
"GCF_007714075.1_ASM771407v1_genomic.fna",2,8
"GCF_007714065.1_ASM771406v1_genomic.fna",5,18
"GCF_013112235.1_ASM1311223v1_genomic.fna",1,1
"GCF_007714115.1_ASM771411v1_genomic.fna",5,18
"GCF_020879555.1_ASM2087955v1_genomic.fna",1,1
"GCF_020879675.1_ASM2087967v1_genomic.fna",4,15
"GCF_007713985.1_ASM771398v1_genomic.fna",3,11
"GCF_009733635.1_ASM973363v1_genomic.fna",2,8
"GCF_009733625.1_ASM973362v1_genomic.fna",2,8
"GCF_020879715.1_ASM2087971v1_genomic.fna",1,1
"GCF_020879295.1_ASM2087929v1_genomic.fna",4,15
"GCF_020879955.1_ASM2087995v1_genomic.fna",1,1
"GCF_020880335.1_ASM2088033v1_genomic.fna",4,15
"GCF_020881595.1_ASM2088159v1_genomic.fna",1,1
"GCF_020879735.1_ASM2087973v1_genomic.fna",4,15
"GCF_020879695.1_ASM2087969v1_genomic.fna",4,15
"GCF_020880155.1_ASM2088015v1_genomic.fna",4,15
"GCF_021607285.1_ASM2160728v1_genomic.fna",2,9
"GCF_021607345.1_ASM2160734v1_genomic.fna",1,3
"GCF_021607365.1_ASM2160736v1_genomic.fna",7,20
"GCF_021607395.1_ASM2160739v1_genomic.fna",7,20
"GCF_021607425.1_ASM2160742v1_genomic.fna",1,1
"GCF_021607485.1_ASM2160748v1_genomic.fna",4,15
"GCF_021607325.1_ASM2160732v1_genomic.fna",7,20
"GCF_021607525.1_ASM2160752v1_genomic.fna",2,8
"GCF_021607305.1_ASM2160730v1_genomic.fna",7,20
"GCF_021607545.1_ASM2160754v1_genomic.fna",7,20
"GCF_021607495.1_ASM2160749v1_genomic.fna",7,20
"GCF_021607415.1_ASM2160741v1_genomic.fna",2,10
"GCF_021607465.1_ASM2160746v1_genomic.fna",7,20
"GCF_021607645.1_ASM2160764v1_genomic.fna",7,20
"GCF_021607605.1_ASM2160760v1_genomic.fna",7,20
"GCF_021607705.1_ASM2160770v1_genomic.fna",7,20
"GCF_021607745.1_ASM2160774v1_genomic.fna",7,20
"GCF_021607575.1_ASM2160757v1_genomic.fna",7,20
"GCF_021607655.1_ASM2160765v1_genomic.fna",7,20
"GCF_021607685.1_ASM2160768v1_genomic.fna",7,20
"GCF_021607625.1_ASM2160762v1_genomic.fna",7,20
"GCF_021607775.1_ASM2160777v1_genomic.fna",7,20
"GCF_021607565.1_ASM2160756v1_genomic.fna",7,20
"GCF_021607725.1_ASM2160772v1_genomic.fna",7,20
"GCF_021607805.1_ASM2160780v1_genomic.fna",7,20
"GCF_021607815.1_ASM2160781v1_genomic.fna",7,20
"GCF_021607895.1_ASM2160789v1_genomic.fna",7,20
"GCF_021607925.1_ASM2160792v1_genomic.fna",7,20
"GCF_021607845.1_ASM2160784v1_genomic.fna",7,20
"GCF_021607985.1_ASM2160798v1_genomic.fna",4,15
"GCF_021607885.1_ASM2160788v1_genomic.fna",7,20
"GCF_021607955.1_ASM2160795v1_genomic.fna",7,20
"GCF_021607765.1_ASM2160776v1_genomic.fna",7,20
"GCF_021608005.1_ASM2160800v1_genomic.fna",7,20
"GCF_021608055.1_ASM2160805v1_genomic.fna",7,20
"GCF_021607945.1_ASM2160794v1_genomic.fna",4,15
"GCF_021607865.1_ASM2160786v1_genomic.fna",7,20
"GCF_028598865.1_ASM2859886v1_genomic.fna",5,18
"GCF_028598875.1_ASM2859887v1_genomic.fna",5,18
"GCF_028599575.1_ASM2859957v1_genomic.fna",4,15
"GCF_028599615.1_ASM2859961v1_genomic.fna",5,18
"GCF_021608025.1_ASM2160802v1_genomic.fna",7,20
"GCF_028010245.1_ASM2801024v1_genomic.fna",7,20
"GCF_031770505.1_ASM3177050v1_genomic.fna",5,18
"GCF_031770545.1_ASM3177054v1_genomic.fna",5,18
"GCF_031770305.1_ASM3177030v1_genomic.fna",5,18
"GCF_028599515.1_ASM2859951v1_genomic.fna",5,18
"GCF_031770375.1_ASM3177037v1_genomic.fna",5,18
"GCF_031770585.1_ASM3177058v1_genomic.fna",5,18
"GCF_031770415.1_ASM3177041v1_genomic.fna",5,18
"GCF_031770625.1_ASM3177062v1_genomic.fna",5,18
"GCF_028599525.1_ASM2859952v1_genomic.fna",5,18
"GCF_031770785.1_ASM3177078v1_genomic.fna",5,18
"GCF_031770665.1_ASM3177066v1_genomic.fna",5,18
"GCF_031770705.1_ASM3177070v1_genomic.fna",5,18
"GCF_031771145.1_ASM3177114v1_genomic.fna",5,18
"GCF_031770905.1_ASM3177090v1_genomic.fna",5,18
"GCF_031770985.1_ASM3177098v1_genomic.fna",5,18
"GCF_031770885.1_ASM3177088v1_genomic.fna",5,18
"GCF_031770845.1_ASM3177084v1_genomic.fna",5,18
"GCF_031771005.1_ASM3177100v1_genomic.fna",5,18
"GCF_031770805.1_ASM3177080v1_genomic.fna",5,18
"GCF_031771165.1_ASM3177116v1_genomic.fna",5,18
"GCF_031771065.1_ASM3177106v1_genomic.fna",5,18
"GCF_031771325.1_ASM3177132v1_genomic.fna",5,18
"GCF_031771265.1_ASM3177126v1_genomic.fna",5,18
"GCF_031771085.1_ASM3177108v1_genomic.fna",5,18
"GCF_031771445.1_ASM3177144v1_genomic.fna",5,18
"GCF_031771465.1_ASM3177146v1_genomic.fna",5,18
"GCF_031771305.1_ASM3177130v1_genomic.fna",5,18
"GCF_031771565.1_ASM3177156v1_genomic.fna",5,18
"GCF_031771625.1_ASM3177162v1_genomic.fna",5,18
"GCF_031771725.1_ASM3177172v1_genomic.fna",5,18
"GCF_031771365.1_ASM3177136v1_genomic.fna",5,18
"GCF_031771655.1_ASM3177165v1_genomic.fna",5,18
"GCF_031771745.1_ASM3177174v1_genomic.fna",5,18
"GCF_031771805.1_ASM3177180v1_genomic.fna",5,18
"GCF_037095835.1_ASM3709583v1_genomic.fna",2,8
"GCF_031771505.1_ASM3177150v1_genomic.fna",5,18
"GCF_039780965.1_ASM3978096v1_genomic.fna",1,6
"GCF_039780945.1_ASM3978094v1_genomic.fna",1,5
"GCF_031771525.1_ASM3177152v1_genomic.fna",5,18
"GCF_031771685.1_ASM3177168v1_genomic.fna",5,18
"GCF_039781205.1_ASM3978120v1_genomic.fna",1,6
"GCF_039781265.1_ASM3978126v1_genomic.fna",1,6
"GCF_039781325.1_ASM3978132v1_genomic.fna",1,6
"GCF_039781425.1_ASM3978142v1_genomic.fna",1,6
"GCF_039781405.1_ASM3978140v1_genomic.fna",1,6
"GCF_039781285.1_ASM3978128v1_genomic.fna",1,6
"GCF_039781445.1_ASM3978144v1_genomic.fna",9,25
"GCF_040056165.1_ASM4005616v1_genomic.fna",1,1
"GCF_040056195.1_ASM4005619v1_genomic.fna",1,6
"GCF_040056505.1_ASM4005650v1_genomic.fna",10,29
"GCF_040056415.1_ASM4005641v1_genomic.fna",10,29
"GCF_039781245.1_ASM3978124v1_genomic.fna",10,29
"GCF_040056945.1_ASM4005694v1_genomic.fna",1,6
"GCF_040202535.2_ASM4020253v2_genomic.fna",1,5
"GCF_040056705.1_ASM4005670v1_genomic.fna",1,6
"GCF_039781005.1_ASM3978100v1_genomic.fna",10,29
"GCF_040056545.1_ASM4005654v1_genomic.fna",10,29
"GCF_041538245.1_ASM4153824v1_genomic.fna",8,21
"GCF_041538265.1_ASM4153826v1_genomic.fna",5,18
"GCF_040056435.1_ASM4005643v1_genomic.fna",10,29
"GCF_041538305.1_ASM4153830v1_genomic.fna",5,18
"GCF_041538285.1_ASM4153828v1_genomic.fna",4,15
"GCF_040056485.1_ASM4005648v1_genomic.fna",10,29
"GCF_042646765.1_ASM4264676v1_genomic.fna",1,1
"GCF_041538205.1_ASM4153820v1_genomic.fna",1,4
"GCF_040056555.1_ASM4005655v1_genomic.fna",10,29
"GCF_048854675.1_ASM4885467v1_genomic.fna",9,26
"GCF_048854685.1_ASM4885468v1_genomic.fna",9,26
"GCF_048854695.1_ASM4885469v1_genomic.fna",9,26
"GCF_048854835.1_ASM4885483v1_genomic.fna",9,26
"GCF_048854965.1_ASM4885496v1_genomic.fna",9,26
"GCF_042647405.1_ASM4264740v1_genomic.fna",1,1
"GCF_048854845.1_ASM4885484v1_genomic.fna",9,26
"GCF_041538405.1_ASM4153840v1_genomic.fna",4,14
"GCF_048854825.1_ASM4885482v1_genomic.fna",9,26
"GCF_048855025.1_ASM4885502v1_genomic.fna",1,6
"GCF_048855065.1_ASM4885506v1_genomic.fna",9,26
"GCF_048855045.1_ASM4885504v1_genomic.fna",1,6
"GCF_048854855.1_ASM4885485v1_genomic.fna",9,26
"GCF_048854665.1_ASM4885466v1_genomic.fna",9,26
"GCF_048855225.1_ASM4885522v1_genomic.fna",9,26
"GCF_048854645.1_ASM4885464v1_genomic.fna",9,26
"GCF_048855345.1_ASM4885534v1_genomic.fna",1,6
"GCF_048855125.1_ASM4885512v1_genomic.fna",9,26
"GCF_048855145.1_ASM4885514v1_genomic.fna",9,26
"GCF_048855245.1_ASM4885524v1_genomic.fna",9,26
"GCF_048855325.1_ASM4885532v1_genomic.fna",1,1
"GCF_048855705.1_ASM4885570v1_genomic.fna",1,6
"GCF_048855505.1_ASM4885550v1_genomic.fna",1,1
"GCF_048855525.1_ASM4885552v1_genomic.fna",1,6
"GCF_048855625.1_ASM4885562v1_genomic.fna",1,6
"GCF_048855405.1_ASM4885540v1_genomic.fna",1,6
"GCF_048855305.1_ASM4885530v1_genomic.fna",1,6
"GCF_048855465.1_ASM4885546v1_genomic.fna",1,6
"GCF_048855665.1_ASM4885566v1_genomic.fna",1,6
"GCF_048855545.1_ASM4885554v1_genomic.fna",1,6
"GCF_048855685.1_ASM4885568v1_genomic.fna",1,6
